ind_fcode,name,parent
ihotel,Hotel Construction,i5010023
i5010025,Industrial Building Construction,i5010023
i5010031,Leisure Facility Construction,i5010023
i5010027,Retail Construction,i5010023
i5010028,School Construction,i5010023
i5010022,Residential Building Construction,i501
i502,Heavy Construction,iconst
i5020002,Airport Construction,i502
i5020006,Bridge Construction,i502
i5020051,Canal/Waterway Construction,i502
i5020011,Dam Construction,i502
i5020050,Flood Defense Construction,i502
i5020017,Harbor Construction,i502
i5020041,Highway/Street Construction,i502
i5020047,Land Reclamation,i502
i5020022,Oil Production Platform Construction,i502
i5020008,Parking Lot Construction,i502
i5020043,Pipeline Laying,i502
i5020044,Power Station Construction,i502
irenewf,Renewable Energy Facility Construction,i5020044
i5020028,Railway Construction,i502
i5020030,Reservoir Construction,i502
i5020032,Sewer Construction,i502
i5020042,Transmission Line Construction,i502
i5020039,Tunnel Construction,i502
i5020045,Water Treatment Plant Construction,i502
i503,Special Trade Contractors,iconst
i5031,Electrical Contractors,i503
iplum,Plumbing Contractors,i503
iroofco,Roofing Contractors,i503
i5032,Wrecking/Demolition Contractors,i503
ireest,Real Estate,icre
i834,Real Estate Agents/Brokers,ireest
i85,Real Estate Transactions,ireest
icireal,Commercial/Industrial Real Estate,i85
i8500005,Industrial Real Estate,icireal
i8500021,Office Real Estate,icireal
i8500029,Retail Real Estate,icireal
i8500013,Self-storage Unit Leasing,icireal
i8500015,Property Managers,i85
irreal,Residential Real Estate,i85
i8500011,Residential Building Leasing,irreal
i8500031,Residential Property Dealing/Owning,irreal
i64,Retail/Wholesale,indroot
iretail,Retail,i64
i656000301,Etailing,iretail
imkit,Meal Kit/Food Box Retailing,i656000301
ionlauc,Online Auctions,i656000301
itick,Ticket Agents,i656000301
i656,Mixed Retailing,iretail
iconvs,Convenience Stores,i656
i6560002,Department Stores,i656
idollar,Discount/Dollar Stores,i656
i6560011,Shopping Malls/Superstores,i656
i657,Non-store Retailing,iretail
i6571,Vending Machine Operators,i657
i654,Specialty Retailing,iretail
i6540034,Art Dealing,i654
iahou,Auction Houses,i654
i6492,Automotive Parts/Tire Stores,i654
i6491,Boat Dealing,i654
i653,Book/Office Supplies Stores,i654
i6531,Book Stores,i653
i6532,Office Supplies/Gift Stores,i653
i642,Cigarette/Newspaper/Liquor Stores,i654
i6421,Beer/Wine/Liquor Stores,i642
i645,Clothing Stores,i654
i644,Cosmetics/Perfume Stores,i654
i6540031,Florists,i654
i641,Food Retailing,i654
i6412,Specialty Food Retailing,i641
i6411,Supermarkets/Grocery Stores,i641
i6540011,Garden Centers,i654
i652,Gasoline/Service Stations,i654
i6540030,Hobby/Toy/Game Stores,i654
i648,Household Goods/Hardware Stores,i654
icompst,Computer Stores,i648
i6483,Decorating/DIY/Hardware Stores,i648
i6482,Electronics/Appliance Stores,i648
i6481,Furniture/Home Furnishings Stores,i648
i647,Household Textiles Stores,i654
i6540028,Jewelry Stores,i654
i6540026,Luggage/Leather Goods Stores,i654
imretail,Marijuana Retailing,i654
i651,Motor Vehicle Dealing,i654
i6511,New Car Dealing,i651
i6512,Used Car Dealing,i651
i6540005,Optical Goods Stores/Opticians,i654
i6540033,Pet/Pet Supply Stores,i654
i643,Pharmacies/Drug Stores,i654
i646,Shoe Stores,i654
i6540029,Sporting Goods Stores,i654
i6540032,Used Merchandise Stores,i654
i61,Wholesalers,i64
iagrws,Agricultural Raw Material Wholesale,i61
iautws,Automobile/Automobile Part Wholesale,i61
ichmws,Chemical Product Wholesale,i61
icltws,Clothing/Textile Wholesale,i61
icmpws,Computers/Electronic Equipment Wholesale,i61
iengwh,Energy Wholesale,i61
ifodwh,Food Wholesaling,i61
imacws,Machinery/Industrial Goods Wholesale,i61
iphrws,Pharmaceuticals Wholesale,i61
itech,Technology,indroot
i3dprn,3D/4D Printing,itech
iagtech,Agriculture Technology,itech
i3302022,Artificial Intelligence Technologies,itech
iphmetrix,Biometrics Technology,itech
iblock,Blockchain Technology,itech
i3302,Computers/Consumer Electronics,itech
icomp,Computing,i3302
icph,Computer Hardware,icomp
icircb,Circuit Boards,icph
icper,Computer Peripherals,icph
idisply,Computer Monitors/Displays,icper
i3302019,Computer Storage Devices,icper
icmpse,Computer Servers,icph
i3302003,Desktop Computers,icph
i3302011,Portable Computers,icph
itablcm,Tablet Computers,i3302011
i3302012,Supercomputers,icph
i330202,Software,icomp
i3302021,Applications Software,i330202
ibisw,Business Intelligence Software,i3302021
icadcam,CAD/CAM Software,i3302021
icmsw,Communications Software,i3302021
iemail,E-mail,icmsw
iimess,Instant Messaging Software,icmsw
iinttel,Internet Telephony,icmsw
icrmsw,Customer Relationship Management Software,i3302021
idmisoft,Data Mining/Analysis Software,i3302021
iecmsw,Enterprise Content Management Software,i3302021
ientrps,Enterprise Resource Planning Software,i3302021
iscmsof,Supply Chain Management Software,ientrps
iphhit,Healthcare Information Technology,i3302021
iintela,Intelligent Agents,i3302021
ibrows,Internet Browsers,i3302021
iknowms,Knowledge Management Software,i3302021
imobsoft,Mobile Applications Software,i3302021
iportsf,Portal Software,i3302021
isecpri,Security/Privacy Software,i3302021
isimsft,Simulation Software,i3302021
ivirtusw,Virtualization Software,i3302021
ivoicr,Voice Recognition Software,i3302021
i3302020,Systems Software,i330202
i83941,Software Programming Tools/Languages,icomp
ielec,Consumer Electronics,i3302
i3454,Personal Electronics,ielec
ihandaps,Handheld Electronic Devices,i3454
icellph,Cell/Mobile/Smart Phones,ihandaps
iebkre,e-Book Readers/Devices,ihandaps
ievd,Electronic Cigarettes,ihandaps
iwetec,Wearable Technology,i3454
i3303,Networking,i3302
ibrdbi,Broadband Equipment,i3303
ifbropt,Fiber Optic Equipment,ibrdbi
i33031,LAN/WAN Hardware,ibrdbi
igncmp,Radio Frequency/Microwave Components,ibrdbi
iedco,Edge Computing,i3303
iioft,Internet-of-Things Technologies,i3303
inetwt,Network Monitoring/Testing Tools,i3303
iwrlssl,Wireless Area Network Technology,i3303
idct,Digital Cellular Technology,iwrlssl
ielear,E-learning/Educational Technology,itech
ifmsoft,Financial Technology,itech
iint,Online Service Providers,itech
iappsp,Cloud Computing,iint
iecom,E-commerce,iint
iebus,B2B e-commerce,iecom
itnsv,Sharing/On-demand Economy Services,iecom
i8395464,Internet Search Engines,iint
iwebhst,Web Hosting,iint
isptech,Sports Technologies,itech
i3441,Telecommunications Equipment,itech
i34411,Mobile Communications Devices,i3441
ivrealt,Virtual Reality Technologies,itech
i7902,Telecommunication Services,indroot
i79026,Integrated Communications Providers,i7902
i79023,Satellite Telecommunications Services,i7902
i79021,Wired Telecommunications Services,i7902
i79022,Wireless Telecommunications Services,i7902
i7902202,Mobile Telecommunications,i79022
ippcell,Prepaid Mobile Services,i7902202
itsp,Transportation/Logistics,indroot
iairtr,Air Transport,itsp
i75,Airlines,iairtr
i7502,Air Freight,i75
i7504,Chartered Air Freight,i7502
i7501,Passenger Airlines,i75
i7503,Chartered Passenger Airlines,i7501
ilowair,Low Cost Airlines,i7501
i764,Airports,iairtr
i7641,Air Traffic Control,i764
i7643,Aircraft Cleaning/Fuelling,i764
i7644,Aircraft Maintenance Services,i764
i7642,Ramp/Baggage Handling,i764
icargo,Freight Transport/Logistics,itsp
i78,Couriers/Messengers,icargo
i77002,Freight Transportation Arrangement,icargo
imarfr,Marine Freight,icargo
i7901,Postal Service,icargo
irfrght,Railroad Freight,icargo
i723,Trucking,icargo
i77003,Warehousing/Storage,icargo
irailtr,Road/Rail Transport,itsp
i72102,Bus/Coach Services,irailtr
i71,Railroads,irailtr
irpass,Railroad Passenger Transport,i71
i722,Taxi/Limousine Service,irailtr
i721,Urban/Commuter Transit,irailtr
i751,Space Transport,itsp
iship,Water Transport/Shipping,itsp
i72603,Inland Water Transport,iship
i74,Marine Transport,iship
imarpas,Marine Passenger Transport,i74
i763,Port/Harbor Operations,iship
iutil,Utilities,indroot
i16,Electricity/Gas Utilities,iutil
ieutil,Electric Utilities,i16
i16102,Electric Bulk Power Transmission,ieutil
i16103,Electric Power Distribution,ieutil
i162,Gas Utilities,i16
imulti,Multiutilities,iutil
i17,Water Utilities,iutil
idesal,Desalination,i17
idishea,District Heating/Cooling,i17
