name,reg_fcode,parent,level
Papua New Guinea,PAPNG,PACISZ,4
Samoa,WSOMOA,PACISZ,4
Solomon Islands,SOLIL,PACISZ,4
Tonga,TONGA,PACISZ,4
Tuvalu,TVLU,PACISZ,4
Vanuatu,VANU,PACISZ,4
Argentina,ARG,SAMZ,4
Bolivia,BOL,SAMZ,4
Brazil,BRAZ,SAMZ,4
Chile,CHIL,SAMZ,4
Colombia,COL,SAMZ,4
Ecuador,ECU,SAMZ,4
Guyana,GUY,SAMZ,4
Paraguay,PARA,SAMZ,4
Peru,PERU,SAMZ,4
Suriname,SURM,SAMZ,4
Uruguay,URU,SAMZ,4
Venezuela,VEN,SAMZ,4
Maldives,MALDR,SASIAZ,4
Denmark,DEN,SCANDZ,4
Norway,NORW,SCANDZ,4
Sweden,SWED,SCANDZ,4
Brunei,BRUNEI,SEASIAZ,4
Indonesia,INDON,SEASIAZ,4
Malaysia,MALAY,SEASIAZ,4
Myanmar,BURMA,SEASIAZ,4
Philippines,PHLNS,SEASIAZ,4
Singapore,SINGP,SEASIAZ,4
Thailand,THAIL,SEASIAZ,4
Timor-Leste,TIMOR,SEASIAZ,4
Angola,ANGOL,SOUAFRZ,4
Botswana,BOTS,SOUAFRZ,4
Eswatini,SWAZD,SOUAFRZ,4
Lesotho,LESOT,SOUAFRZ,4
Malawi,MALAW,SOUAFRZ,4
Namibia,NAMIB,SOUAFRZ,4
South Africa,SAFR,SOUAFRZ,4
Zambia,ZAMBIA,SOUAFRZ,4
Zimbabwe,ZIMBAB,SOUAFRZ,4
Benin,BENIN,WAFRZ,4
Burkina Faso,UPVOLA,WAFRZ,4
Côte d’Ivoire,ICST,WAFRZ,4
Gambia,GAMB,WAFRZ,4
Ghana,GHANA,WAFRZ,4
Guinea,GUREP,WAFRZ,4
Guinea-Bissau,GUBI,WAFRZ,4
Liberia,LIBER,WAFRZ,4
Mali,MALI,WAFRZ,4
Niger,NIGER,WAFRZ,4
Nigeria,NIGEA,WAFRZ,4
Senegal,SENEG,WAFRZ,4
Sierra Leone,SILEN,WAFRZ,4
Togo,TOGO,WAFRZ,4
Armenia,ARMEN,WASIAZ,4
Azerbaijan,AZERB,WASIAZ,4
Cyprus,CYPR,WASIAZ,4
Georgia,GRGIA,WASIAZ,4
Israel,ISRAEL,WASIAZ,4
Jordan,JORDAN,WASIAZ,4
Lebanon,LEBAN,WASIAZ,4
Syria,SYRIA,WASIAZ,4
Turkey,TURK,WASIAZ,4
Yemen,YEMAR,WASIAZ,4
Andorra,ANDO,WEURZ,4
France,FRA,WEURZ,4
Ireland,IRE,WEURZ,4
Italy,ITALY,WEURZ,4
Liechtenstein,LIECHT,WEURZ,4
